model,val_accuracy,val_macro_f1,parameters,best_epoch,train_seconds,inference_ms_per_image
linear,0.8661666666666666,0.8643841131343203,7850,9,64.6173920599997,0.0003120806250045405
mlp,0.893,0.8924059778539799,203530,9,64.0400725799999,0.0010741304687478248
