epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,train_seconds,val_seconds
1,0.5753803100497634,0.8033518518518519,0.8003992236072441,0.4185654797554016,0.8493333333333334,0.8471381454877717,6.078924619000077,0.6142644789999849
2,0.4127646702395545,0.8546296296296296,0.8537902666582182,0.3706397766272227,0.8726666666666667,0.8726177368832589,6.922918181,0.6168359590000136
3,0.36893598735774,0.8680740740740741,0.867313152393273,0.3448528332710266,0.8738333333333334,0.8743934662393771,6.185529150999969,0.6396775410000828
4,0.34298890674555743,0.8756666666666667,0.8750821061464109,0.3454196519056956,0.8731666666666666,0.8726037019162305,6.852961035000021,0.624324288999901
5,0.3208384205235375,0.8845925925925926,0.8841074369424451,0.33328016877174377,0.8741666666666666,0.8710155293607207,6.0016560299999355,0.951947859000029
6,0.30189936727064626,0.8897407407407407,0.8892465203019201,0.31561095237731934,0.8845,0.8831760507369051,6.5623551910000515,0.6126042319999669
7,0.29049787144307737,0.8944074074074074,0.8939555577597389,0.3243658303419749,0.8818333333333334,0.8831922991876301,6.4364067430000205,0.9072631850000334
8,0.27843722376558516,0.8977962962962963,0.8973480597553154,0.32391942739486695,0.8818333333333334,0.8794024093466769,5.864472437999893,0.6693214769999258
9,0.2661637014415529,0.9029259259259259,0.902465272963225,0.293159777879715,0.893,0.8924059778539799,7.071364652999932,0.6625834250000935
10,0.25627795413688376,0.9048148148148148,0.9044524239457026,0.3019635797341665,0.8928333333333334,0.8926363897658742,6.063484539000001,0.6696446390000119
