epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,train_seconds,val_seconds
1,0.7458552839491103,0.7603888888888889,0.7536636301766901,0.544618488629659,0.8186666666666667,0.8180289975084876,6.065814240000009,0.6361669200000506
2,0.521942270067003,0.8269444444444445,0.8247828039812942,0.47709530814488726,0.841,0.8400456798862399,6.9527397559999145,0.6169636669999363
3,0.48002942032284207,0.8386481481481481,0.8370594958707637,0.4519543449083964,0.8475,0.8443292692342024,5.9940732169999364,0.7982944120000184
4,0.45750011720480743,0.8453518518518518,0.8440194406944522,0.4294077511628469,0.8553333333333333,0.8543308574512224,6.691771216999996,0.6609212700000171
5,0.4435070974385297,0.8501666666666666,0.8490077881160852,0.4211264910697937,0.8558333333333333,0.8531503030055706,6.45910499799993,0.9896581720000768
6,0.4326241493931523,0.8533888888888889,0.8523119736845631,0.41335670598347984,0.858,0.8573458301152218,6.034249909999971,0.641282240999999
7,0.42564300617465267,0.8540740740740741,0.8530345024211838,0.4112595932483673,0.859,0.8596791328389963,6.768635133999965,0.6527646250000316
8,0.42072550942279674,0.8565555555555555,0.8556904828431227,0.41002051210403445,0.8593333333333333,0.8556809223493138,6.351755292000007,0.6692700229999673
9,0.4153759830881048,0.857,0.8560427430218704,0.39797081764539083,0.8661666666666666,0.8643841131343203,7.139365883999972,0.6173898710000003
10,0.4086305850611793,0.8596481481481482,0.858792163682746,0.3998448458512624,0.8633333333333333,0.8620509043353655,6.159882412000002,0.7668038599999818
